identification,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Location
6004014,HP100059,1/1/08 0:50,0000X W 104TH PL,560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,512,5,34,49,08A,1177531,1835630,2008,1/12/08 1:05,"(41.70429222502923, -87.6255215499695)"
5999438,HP104081,1/2/08 14:00,078XX S MARSHFIELD AVE,610,BURGLARY,FORCIBLE ENTRY,OTHER,FALSE,FALSE,611,6,17,71,5,1166739,1852921,2008,1/16/08 1:05,"(41.75197796089156, -87.66454817728332)"
5994592,HP102394,1/2/08 13:30,094XX S ELIZABETH ST,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,2222,22,21,73,5,1169694,1842011,2008,1/16/08 1:05,"(41.72197583923209, -87.654034995577)"
5997522,HP101108,1/1/08 14:35,0000X W 111TH PL,460,BATTERY,SIMPLE,SIDEWALK,TRUE,FALSE,522,5,34,49,08B,1177801,1831068,2008,1/7/08 1:04,"(41.691767351967115, -87.62467030994966)"
6002313,HP101681,1/2/08 0:05,0000X W 87TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,622,6,21,44,08B,1177466,1847323,2008,1/12/08 1:05,"(41.736380833506516, -87.62540747702242)"
5998140,HP105964,1/1/08 20:30,0000X W DELAWARE PL,560,ASSAULT,SIMPLE,OTHER,FALSE,FALSE,1832,18,42,8,08A,1175615,1906436,2008,1/11/08 1:05,"(41.89863377182564, -87.630417267607)"
6017724,HP113337,1/1/08 1:00,0000X W DELAWARE PL,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,1832,18,42,8,08B,1175835,1906575,2008,2/6/08 1:04,"(41.89901024563443, -87.62960504134128)"
5999051,HP101030,1/1/08 14:20,0000X W ELM ST,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,1824,18,42,8,6,1175491,1908037,2008,1/10/08 1:05,"(41.903029781572, -87.63082455421485)"
6009647,HP101177,1/1/08 16:15,0000X W JACKSON BLVD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA TRAIN,TRUE,FALSE,123,1,42,32,18,1176042,1899022,2008,1/27/08 1:04,"(41.8782797443683, -87.62907243202095)"
5995326,HP102490,1/2/08 13:51,0000X W LAKE ST,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,122,1,42,32,6,1176036,1901703,2008,1/9/08 1:04,"(41.88563669681988, -87.62901367337699)"
6005548,HP100896,1/1/08 12:30,0000X W ROOT ST,497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,TRUE,FALSE,214,2,3,38,04B,1176594,1877529,2008,1/12/08 1:05,"(41.81928895518841, -87.62769409703536)"
6018621,HP123675,1/2/08 3:00,0000X W WACKER DR,890,THEFT,FROM BUILDING,HOTEL/MOTEL,FALSE,FALSE,122,1,42,32,6,1176273,1902094,2008,2/13/08 1:04,"(41.88670428115638, -87.62813157285312)"
5994324,HP103052,1/2/08 13:00,0000X W WASHINGTON ST,890,THEFT,FROM BUILDING,GOVERNMENT BUILDING/PROPERTY,FALSE,FALSE,113,1,42,32,6,1175823,1900857,2008,1/5/08 1:04,"(41.88332001961329, -87.62982131115038)"
5998252,HP102122,1/2/08 9:00,0000X W WASHINGTON ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,GOVERNMENT BUILDING/PROPERTY,FALSE,FALSE,113,1,42,32,26,1175734,1900776,2008,1/31/08 1:05,"(41.88309975258782, -87.63015055854716)"
5999604,HP102332,1/2/08 12:40,0000X W 104TH ST,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,512,5,34,49,5,1177646,1836045,2008,1/14/08 1:04,"(41.70542844848917, -87.62508794294632)"
5995207,HP101254,1/1/08 17:00,001XX E 115TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,TRUE,TRUE,532,5,9,53,08B,1179080,1828700,2008,1/7/08 1:04,"(41.68524024743747, -87.62005954151805)"
6616895,HP689459,1/1/08 12:00,001XX E 14TH ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,133,1,2,33,6,1177455,1893913,2008,12/5/08 1:03,"(41.86422841158949, -87.6240392825869)"
6002853,HP100041,1/1/08 0:35,001XX E 42ND ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,214,2,3,38,14,1178185,1877243,2008,1/11/08 1:05,"(41.818468145365124, -87.62186642378909)"
6000562,HP100324,1/1/08 3:00,001XX E HURON ST,460,BATTERY,SIMPLE,HOTEL/MOTEL,TRUE,FALSE,1834,18,42,8,08B,1177390,1905146,2008,1/10/08 1:05,"(41.89505385910737, -87.62393704883004)"
6011556,HP113766,1/2/08 14:00,001XX E RANDOLPH ST,841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,FALSE,FALSE,124,1,42,32,6,1177611,1901335,2008,1/22/08 9:10,"(41.88459126771019, -87.62324121348789)"
5991962,HP100732,1/1/08 4:00,001XX E RANDOLPH ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,STREET,FALSE,FALSE,124,1,42,32,11,1177302,1901326,2008,1/6/08 1:05,"(41.884573581838815, -87.62437616331268)"
7162951,HR572211,1/1/08 0:01,001XX E RANDOLPH ST,890,THEFT,FROM BUILDING,OTHER,FALSE,FALSE,124,,42,32,6,,,2008,11/6/09 1:04,
5991594,HP100295,1/1/08 2:30,001XX E WACKER DR,460,BATTERY,SIMPLE,HOTEL/MOTEL,FALSE,FALSE,124,1,42,32,08B,1177757,1902582,2008,1/5/08 1:04,"(41.88800978338203, -87.62266716550056)"
5991643,HP100175,1/1/08 2:20,001XX E WACKER DR,460,BATTERY,SIMPLE,HOTEL/MOTEL,TRUE,FALSE,124,1,42,32,08B,1177757,1902582,2008,1/5/08 1:04,"(41.88800978338203, -87.62266716550056)"
5991645,HP100174,1/1/08 2:00,001XX E WACKER DR,460,BATTERY,SIMPLE,HOTEL/MOTEL,TRUE,FALSE,124,1,42,32,08B,1177757,1902582,2008,1/5/08 1:04,"(41.88800978338203, -87.62266716550056)"
6000330,HP100168,1/1/08 0:30,001XX E WALTON ST,460,BATTERY,SIMPLE,HOTEL/MOTEL,TRUE,FALSE,1833,18,42,8,08B,1177391,1906992,2008,1/10/08 1:05,"(41.90011934654808, -87.62387731155202)"
5994531,HP102415,1/2/08 13:30,001XX N BELL AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,TRUE,TRUE,1332,13,2,28,08B,1161362,1901163,2008,1/11/08 1:05,"(41.88447273828647, -87.68291437404565)"
5991606,HP100222,1/1/08 2:05,001XX N CENTRAL AVE,820,THEFT,$300 AND UNDER,SIDEWALK,TRUE,FALSE,1512,15,29,25,6,1138977,1900716,2008,1/4/08 1:05,"(41.883682261501335, -87.76512682877298)"
5992218,HP100099,1/1/08 0:20,001XX N FRANKLIN ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,FALSE,111,1,42,32,08B,1174257,1901580,2008,1/5/08 1:04,"(41.88533905849437, -87.63555011998488)"
5992834,HP101450,1/1/08 19:35,001XX N LA CROSSE AVE,560,ASSAULT,SIMPLE,RESIDENCE,TRUE,TRUE,1532,15,28,25,08A,1144048,1900977,2008,1/5/08 1:04,"(41.88430483192754, -87.74649888605589)"
5992961,HP100060,1/1/08 1:00,001XX N LARAMIE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,1523,15,28,25,08B,1141637,1900916,2008,1/5/08 1:04,"(41.884182341286404, -87.75535399637154)"
5994899,HP101053,1/1/08 14:30,001XX N LEAMINGTON AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,1532,15,28,25,18,1142063,1900544,2008,1/23/08 14:56,"(41.88315364349896, -87.75379887960192)"
6000889,HP101647,1/1/08 23:05,001XX N LEAVITT ST,2220,LIQUOR LAW VIOLATION,ILLEGAL POSSESSION BY MINOR,STREET,TRUE,FALSE,1332,13,2,28,22,1161687,1900814,2008,1/9/08 1:04,"(41.883508286643384, -87.68173066253581)"
5992901,HP100917,1/1/08 13:15,001XX N LOCKWOOD AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,1523,15,28,25,08B,1141058,1900716,2008,1/5/08 1:04,"(41.883644197492295, -87.7574851083401)"
6285023,HP374425,1/1/08 12:00,001XX N LONG AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,FALSE,FALSE,1523,15,28,25,11,1140272,1900590,2008,6/8/08 1:03,"(41.88331287417178, -87.76037449665637)"
5991215,HP100492,1/1/08 3:00,001XX N MENARD AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,FALSE,1512,15,29,25,26,1137652,1900418,2008,1/4/08 1:05,"(41.88288848126805, -87.76999960329202)"
5992555,HP100351,1/1/08 3:20,001XX N MICHIGAN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,OTHER,FALSE,TRUE,124,1,42,32,08B,1177319,1901337,2008,1/9/08 1:04,"(41.88460338101817, -87.62431340400715)"
5992820,HP101016,1/1/08 13:40,001XX N PARKSIDE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,1512,15,29,25,08B,1138538,1900390,2008,1/5/08 1:04,"(41.88279564005981, -87.76674680302537)"
5992107,HP101615,1/1/08 5:00,001XX N PULASKI RD,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1114,11,28,26,7,1149757,1900110,2008,1/9/08 1:04,"(41.88181664661064, -87.72555709709788)"
5994181,HP102613,1/2/08 11:00,001XX N STATE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,STREET,FALSE,FALSE,122,1,42,32,11,1176380,1901242,2008,1/6/08 1:05,"(41.88436393293686, -87.62776437042582)"
5992278,HP101383,1/1/08 19:00,001XX N STATE ST,1330,CRIMINAL TRESPASS,TO LAND,SMALL RETAIL STORE,FALSE,FALSE,122,1,42,32,26,1176299,1901309,2008,1/5/08 1:04,"(41.88454961174293, -87.62805978717317)"
5999337,HP100268,1/1/08 3:10,001XX N STATE ST,1330,CRIMINAL TRESPASS,TO LAND,CTA PLATFORM,TRUE,FALSE,122,1,42,32,26,1176290,1901657,2008,1/9/08 1:04,"(41.88550474590183, -87.62808233389251)"
8374879,HT608704,1/2/08 6:00,001XX N WELLS ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,113,,42,32,6,,,2008,12/16/11 0:41,
6001563,HP101527,1/1/08 20:56,001XX S CENTRAL PARK BLVD,2023,NARCOTICS,POSS: HEROIN(BRN/TAN),STREET,TRUE,FALSE,1123,11,28,27,18,1152447,1899251,2008,1/9/08 1:04,"(41.879406758598556, -87.71570210523893)"
5992089,HP101540,1/1/08 14:00,001XX S DESPLAINES ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,111,1,2,28,7,1171908,1899784,2008,1/5/08 1:04,"(41.880462805885664, -87.64422895843967)"
5995348,HP102145,1/2/08 11:35,001XX S LARAMIE AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,1522,15,29,25,6,1141698,1899131,2008,1/6/08 1:05,"(41.87928295048786, -87.75517415272712)"
5999777,HP107677,1/1/08 21:00,001XX S MENARD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,1513,15,29,25,14,1137707,1898750,2008,1/8/08 1:04,"(41.87831027720766, -87.7698378535459)"
6438731,HP520150,1/1/08 7:00,001XX S MICHIGAN AVE,810,THEFT,OVER $300,OTHER,FALSE,FALSE,123,1,42,32,6,1177279,1899752,2008,8/22/08 1:04,"(41.8802549617846, -87.62450836073421)"
6754720,HR149763,1/1/08 8:58,001XX S STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,OTHER,FALSE,FALSE,123,1,42,32,11,1176443,1899710,2008,3/11/09 1:05,"(41.88015861727949, -87.62757929304767)"
6021475,HP126285,1/1/08 13:40,001XX S WACKER DR,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CTA PLATFORM,FALSE,FALSE,111,1,2,32,14,1173850,1899439,2008,2/9/08 1:05,"(41.87947309405955, -87.63710846623806)"
6004325,HP101000,1/1/08 13:30,001XX W 109TH PL,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,FALSE,FALSE,513,5,34,49,26,1177226,1832301,2008,1/12/08 1:05,"(41.695163846182226, -87.62673841614767)"
6014086,HP102196,1/2/08 11:30,001XX W 119TH ST,460,BATTERY,SIMPLE,GROCERY FOOD STORE,FALSE,FALSE,522,5,9,53,08B,1177689,1826008,2008,1/17/08 9:23,"(41.67788448390593, -87.625232619063)"
5992928,HP101332,1/1/08 18:00,001XX W 63RD ST,1310,CRIMINAL DAMAGE,TO PROPERTY,GAS STATION,FALSE,FALSE,311,3,20,68,14,1176168,1863245,2008,1/5/08 1:04,"(41.78010186479228, -87.629685759239)"
5999199,HP101305,1/1/08 17:24,001XX W 69TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,731,7,6,69,18,1176491,1859195,2008,1/9/08 1:04,"(41.768980966770854, -87.62862326778799)"
5996225,HP101266,1/1/08 17:10,001XX W 87TH ST,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,FALSE,634,6,21,44,6,1176799,1847235,2008,1/7/08 1:04,"(41.736154380022015, -87.62785376835062)"
6000189,HP105703,1/2/08 10:00,001XX W ADAMS ST,890,THEFT,FROM BUILDING,HOTEL/MOTEL,FALSE,FALSE,112,1,42,32,6,1174975,1899459,2008,1/9/08 1:04,"(41.87950285783049, -87.63297708285891)"
