identification,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Location
5991582,HP100464,1/1/08 5:53,008XX S WABASH AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,FALSE,FALSE,132,1,2,32,3,1176957,1896583,2008,3/14/08 1:04,"(41.871566333199084, -87.62578661873724)"
6015661,HP120070,1/1/08 0:01,008XX W 103RD ST,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,FALSE,FALSE,2232,22,34,73,10,1172267,1836577,2008,1/23/08 14:56,"(41.707008046091545, -87.64476968746648)"
6530248,HP603712,1/1/08 0:01,008XX W 68TH ST,841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,FALSE,FALSE,723,7,17,68,6,1171574,1859713,2008,10/10/08 1:04,"(41.77051156088159, -87.64663140351156)"
5998149,HP106029,1/1/08 18:00,008XX W BARRY AVE,820,THEFT,$300 AND UNDER,STREET,FALSE,FALSE,1932,19,44,6,6,1170001,1920750,2008,1/9/08 1:04,"(41.938036505015525, -87.6506184712853)"
7321147,HS107818,1/1/08 13:00,008XX W GRACE ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,FALSE,FALSE,2324,,46,6,6,,,2008,1/23/10 1:16,
5992102,HP101460,1/1/08 9:30,008XX W OAKDALE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1932,19,44,6,14,1170061,1919841,2008,1/4/08 1:05,"(41.9355408582321, -87.65042457281714)"
5998970,HP106070,1/2/08 8:19,008XX W RANDOLPH ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,CURRENCY EXCHANGE,FALSE,FALSE,1212,12,27,28,11,1170992,1901173,2008,2/3/08 1:04,"(41.88429444932763, -87.64755163932051)"
5992178,HP101379,1/1/08 2:00,008XX W RANDOLPH ST,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,TAVERN/LIQUOR STORE,FALSE,FALSE,1212,12,27,28,04B,1170926,1901251,2008,4/20/08 1:04,"(41.88450993358971, -87.64779170946288)"
5998606,HP100119,1/1/08 1:50,008XX W RANDOLPH ST,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,BAR OR TAVERN,FALSE,FALSE,1212,12,27,28,04B,1170884,1901250,2008,8/31/10 15:21,"(41.88450811010769, -87.64794596729192)"
6366874,HP453776,1/1/08 0:01,008XX W SUNNYSIDE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,FALSE,2313,19,46,3,26,1169912,1930127,2008,9/13/08 1:04,"(41.96376928231094, -87.65067106142712)"
6542879,HP615642,1/1/08 0:01,008XX W SUNNYSIDE AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,FALSE,FALSE,2313,19,46,3,6,1169715,1930042,2008,10/20/08 1:03,"(41.96354034429232, -87.65139785014254)"
6214090,HP302692,1/1/08 12:00,009XX E 84TH PL,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,TRUE,632,6,8,44,26,1184259,1849205,2008,5/2/08 1:04,"(41.74138921862085, -87.60046175428293)"
5992047,HP101400,1/1/08 18:55,009XX N CAMBRIDGE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,FALSE,1823,18,27,8,26,1172547,1906410,2008,1/24/08 1:05,"(41.89863085083674, -87.64168652215787)"
5997799,HP102060,1/2/08 10:25,009XX N CLEVELAND AVE,313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,STREET,FALSE,FALSE,1823,18,27,8,3,1172858,1906752,2008,1/31/08 1:05,"(41.89956243214333, -87.64053410312985)"
6000269,HP102814,1/2/08 12:31,009XX N HOMAN AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,FALSE,1121,11,27,23,26,1153499,1905990,2008,1/17/08 9:23,"(41.897878408357144, -87.71166003487798)"
6022663,HP101402,1/1/08 19:20,009XX N HUDSON AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA APARTMENT,TRUE,FALSE,1823,18,27,8,26,1173042,1906702,2008,1/23/08 14:56,"(41.89942115002386, -87.63985976237261)"
6594007,HP657968,1/1/08 7:00,009XX N LAKE SHORE DR,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,FALSE,FALSE,1833,18,42,8,11,1178690,1906817,2008,11/9/08 1:04,"(41.89960956222308, -87.61911146208358)"
6335691,HP419399,1/1/08 0:01,028XX W POLK ST,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,APARTMENT,FALSE,FALSE,1135,11,2,27,17,1157466,1896282,2008,8/31/08 1:03,"(41.87115893683885, -87.697353841677)"
5995150,HP102913,1/1/08 2:00,009XX N LARAMIE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1531,15,37,25,14,1141557,1905858,2008,1/6/08 1:05,"(41.89774526455489, -87.75552556377713)"
5994952,HP101683,1/2/08 0:13,009XX N LAVERGNE AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,TRUE,FALSE,1531,15,37,25,18,1142890,1905907,2008,2/17/08 1:05,"(41.897854986584385, -87.75062831348096)"
5991634,HP100285,1/1/08 3:34,009XX N LOCKWOOD AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1524,15,37,25,08B,1140896,1905553,2008,1/7/08 1:04,"(41.896920498603606, -87.75796089162239)"
6060663,HP159998,1/1/08 8:00,009XX N LOREL AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,1524,15,37,25,6,1140538,1905896,2008,2/21/08 1:05,"(41.89786831229891, -87.75926735902941)"
6357028,HP444663,1/1/08 0:01,009XX N MICHIGAN AVE,841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,OTHER,FALSE,FALSE,1833,18,42,8,6,1177278,1907225,2008,8/7/08 1:05,"(41.90076127267197, -87.62428528531329)"
7740683,HS548727,1/2/08 9:00,009XX S SACRAMENTO BLVD,840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,FALSE,FALSE,1135,,28,27,6,,,2008,10/23/10 0:50,
6687905,HR102781,1/1/08 2:30,009XX W 19TH ST,890,THEFT,FROM BUILDING,APARTMENT,FALSE,FALSE,1233,12,25,31,6,1170388,1891147,2008,1/8/09 1:04,"(41.856795578988496, -87.65006264171902)"
5994933,HP101965,1/2/08 10:18,034XX N SOUTHPORT AVE,610,BURGLARY,FORCIBLE ENTRY,TAVERN/LIQUOR STORE,FALSE,FALSE,1924,19,44,6,5,1166404,1922798,2008,1/15/08 1:05,"(41.943734162572426, -87.6637793235957)"
5995091,HP101151,1/1/08 15:20,009XX W 60TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,712,7,16,68,14,1170906,1865081,2008,1/7/08 1:04,"(41.785256599746965, -87.64892341848085)"
5994684,HP102204,1/2/08 12:08,009XX W 87TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,2222,22,21,71,18,1171444,1847101,2008,1/6/08 1:05,"(41.73590544646631, -87.64747647143145)"
5994354,HP103123,1/2/08 10:00,055XX W FARRAGUT AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,1623,16,45,11,5,1138452,1934612,2008,1/18/08 1:04,"(41.97670604535521, -87.76623143185948)"
6152801,HP243747,1/1/08 0:01,009XX W CORNELIA AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,FALSE,FALSE,2331,19,44,6,6,1169381,1923396,2008,4/3/08 1:07,"(41.94531076755495, -87.65281988169342)"
6104707,HP200235,1/1/08 0:01,009XX W FLETCHER ST,890,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,1932,19,44,6,6,1169511,1921127,2008,3/2/08 1:04,"(41.93908170345075, -87.65240830364569)"
5992103,HP101604,1/1/08 19:30,009XX W GARFIELD BLVD,820,THEFT,$300 AND UNDER,STREET,FALSE,FALSE,712,7,16,68,6,1171126,1868190,2008,1/5/08 1:04,"(41.79378323746744, -87.64802594023881)"
6000423,HP100248,1/1/08 3:05,009XX W WEBSTER AVE,460,BATTERY,SIMPLE,SIDEWALK,TRUE,FALSE,1812,18,43,7,08B,1169545,1914773,2008,1/10/08 1:05,"(41.921645284367386, -87.65246879065248)"
5994198,HP102014,1/1/08 3:30,009XX W WEED ST,890,THEFT,FROM BUILDING,BAR OR TAVERN,FALSE,FALSE,1822,18,32,8,6,1169515,1910491,2008,1/30/08 1:05,"(41.90989589584117, -87.65270387788514)"
7951140,HT183512,1/1/08 9:00,010XX E 101ST ST,843,THEFT,ATTEMPT FINANCIAL IDENTITY THEFT,RESIDENCE,FALSE,FALSE,511,,8,50,6,,,2008,4/1/11 0:40,
5997227,HP100086,1/1/08 23:50,010XX N CLARK ST,420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,BAR OR TAVERN,FALSE,FALSE,1824,18,42,8,04B,1175304,1907475,2008,1/12/08 1:05,"(41.901491826235244, -87.63152832223108)"
6043893,HP144222,1/1/08 0:01,010XX N DAMEN AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,OTHER,FALSE,FALSE,1322,13,1,24,6,1162924,1906799,2008,2/17/08 1:05,"(41.89990574150719, -87.67702020373746)"
6949963,HR355406,1/1/08 8:00,010XX N KARLOV AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,FALSE,FALSE,1111,,37,23,20,,,2008,7/12/09 1:05,
6022402,HP101037,1/1/08 14:30,010XX N LARRABEE ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,TRUE,FALSE,1823,18,27,8,26,1172192,1907242,2008,1/23/08 14:56,"(41.900921752130664, -87.64296581476601)"
6020810,HP125139,1/1/08 21:00,010XX N LATROBE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,FALSE,1524,15,37,25,26,1141134,1906223,2008,1/23/08 14:56,"(41.89875467461992, -87.75707021355839)"
5994629,HP101730,1/2/08 2:45,010XX N LAWLER AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,TAXICAB,TRUE,FALSE,1531,15,37,25,11,1142542,1906509,2008,1/6/08 1:05,"(41.89951342282932, -87.75189151308226)"
5992692,HP101027,1/1/08 1:00,010XX N MASSASOIT AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,1511,15,29,25,14,1137872,1906357,2008,1/5/08 1:04,"(41.89918188739004, -87.7690483214833)"
5999573,HP100039,1/1/08 0:01,010XX N MENARD AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1511,15,29,25,08B,1137538,1906458,2008,1/10/08 1:05,"(41.899465065726666, -87.77027267976085)"
5994319,HP103009,1/2/08 13:00,010XX N PAULINA ST,820,THEFT,$300 AND UNDER,STREET,FALSE,FALSE,1322,13,1,24,6,1164893,1907601,2008,1/6/08 1:05,"(41.902064924232775, -87.66976526748685)"
6023320,HP100125,1/1/08 1:09,010XX N SPRINGFIELD AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,TRUE,FALSE,1112,11,27,23,18,1150144,1906987,2008,1/23/08 14:56,"(41.90068032715996, -87.72395669032983)"
5994222,HP102337,1/2/08 1:00,010XX N ST LOUIS AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1121,,27,23,7,,,2008,1/9/08 1:04,
6000278,HP100876,1/1/08 11:30,010XX S KOSTNER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,WAREHOUSE,FALSE,FALSE,1131,11,24,29,14,1147160,1895392,2008,1/9/08 1:04,"(41.86891996994681, -87.73521404395407)"
5991982,HP101067,1/1/08 1:00,010XX S STATE ST,890,THEFT,FROM BUILDING,TAVERN/LIQUOR STORE,FALSE,FALSE,132,1,2,32,6,1176544,1895793,2008,1/13/08 1:05,"(41.869407856166006, -87.62732674122763)"
6022912,HP102206,1/2/08 11:58,010XX W 116TH ST,930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,FALSE,FALSE,524,5,34,53,7,1171643,1827934,2008,1/22/08 9:10,"(41.683303963924274, -87.64730685564673)"
6006525,HP102200,1/2/08 11:55,010XX W 116TH ST,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,524,5,34,53,08B,1171643,1827934,2008,1/12/08 1:05,"(41.683303963924274, -87.64730685564673)"
5991967,HP100993,1/1/08 4:45,010XX W 59TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,712,7,16,68,14,1170511,1865654,2008,1/5/08 1:04,"(41.7868375968345, -87.65035497409245)"
6134356,HP102598,1/2/08 14:00,010XX W 80TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,612,6,17,71,14,1170919,1851814,2008,3/18/08 1:04,"(41.74885002370158, -87.6492626186576)"
5992236,HP101550,1/1/08 21:35,010XX W 92ND ST,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,TRUE,FALSE,2222,22,21,73,18,1171046,1843765,2008,1/6/08 1:05,"(41.72675968645746, -87.64903176413394)"
5994155,HP102506,1/1/08 7:00,010XX W ARMITAGE AVE,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,1811,18,32,7,6,1169283,1913440,2008,1/5/08 1:04,"(41.91799316567984, -87.65347027004148)"
5991357,HP100299,1/1/08 3:30,010XX W BARRY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,1932,19,44,6,14,1168583,1920708,2008,2/9/08 1:05,"(41.93795212481175, -87.65583109815945)"
5994802,HP100614,1/1/08 4:30,010XX W HOLLYWOOD AVE,496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,APARTMENT,FALSE,TRUE,2022,20,48,77,04B,1168139,1938072,2008,1/10/08 1:05,"(41.98560916914759, -87.65695914259639)"
6054115,HP152811,1/2/08 0:01,010XX W LAWRENCE AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,FALSE,FALSE,2024,20,46,3,6,1168525,1932090,2008,2/8/08 1:04,"(41.96918602729329, -87.65571350800616)"
5994814,HP103608,1/1/08 7:00,010XX W NEWPORT AVE,890,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,1924,19,44,6,6,1168779,1923043,2008,2/9/08 1:05,"(41.94435521448052, -87.6550428597298)"
8079437,HT312318,1/1/08 0:01,010XX W NORTH AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,1822,,32,8,6,,,2008,6/3/11 0:38,
5994733,HP102790,1/2/08 9:30,016XX N SPAULDING AVE,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,1422,14,26,23,5,1153931,1910725,2008,1/12/08 1:05,"(41.910863080579404, -87.70994695125765)"
6008659,HP114999,1/2/08 9:00,011XX E 82ND ST,841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,FALSE,FALSE,411,4,8,45,6,1185059,1850887,2008,1/28/08 1:04,"(41.74598606912895, -87.59747793277398)"
7074663,HR481492,1/1/08 9:00,011XX N AVERS AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,FALSE,FALSE,1112,,27,23,6,,,2008,8/16/09 1:03,
6014633,HP116413,1/1/08 9:00,011XX N KARLOV AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,1111,11,37,23,6,1148796,1907507,2008,2/17/08 1:05,"(41.90213342878478, -87.72889455974517)"
7952136,HT184308,1/1/08 9:00,011XX N KEDVALE AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,1111,,37,23,6,,,2008,3/13/11 0:39,
7165949,HR575615,1/1/08 0:01,011XX N PAULINA ST,841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,FALSE,FALSE,1322,,1,24,6,,,2008,10/14/09 1:04,
6005226,HP101478,1/1/08 20:00,011XX N RIDGEWAY AVE,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,TRUE,FALSE,1112,11,27,23,26,1151124,1907505,2008,1/13/08 1:05,"(41.902082611636, -87.72034346993281)"
6826642,HR234664,1/1/08 9:00,011XX N SPAULDING AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,FALSE,FALSE,1121,11,26,23,6,1154144,1907287,2008,4/20/09 1:03,"(41.90142464776147, -87.70925634888285)"
5994399,HP103190,1/2/08 14:00,011XX S CALIFORNIA AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1135,11,28,29,08B,1157821,1895016,2008,1/11/08 1:05,"(41.86767768018172, -87.69608500669129)"
6005896,HP111790,1/1/08 13:30,011XX S CALIFORNIA AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1135,11,28,29,08B,1157821,1895016,2008,1/13/08 1:05,"(41.86767768018172, -87.69608500669129)"
5992181,HP100968,1/1/08 10:39,011XX S HAMILTON AVE,460,BATTERY,SIMPLE,GOVERNMENT BUILDING/PROPERTY,FALSE,FALSE,1224,12,2,28,08B,1162078,1895078,2008,1/5/08 1:04,"(41.867760034127144, -87.68045509919715)"
5992210,HP100949,1/1/08 13:38,011XX S LAFLIN ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,1231,12,2,28,08B,1166585,1895258,2008,1/23/08 14:56,"(41.86815871640521, -87.66390400959368)"
8444461,HV122423,1/1/08 0:01,011XX S LAFLIN ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,1231,,2,28,6,,,2008,1/22/12 0:40,
6009385,HP102111,1/2/08 11:00,011XX S SACRAMENTO BLVD,2027,NARCOTICS,POSS: CRACK,STREET,TRUE,FALSE,1135,11,28,29,18,1156581,1894628,2008,1/13/08 1:05,"(41.86663813671642, -87.7006477702474)"
5993048,HP100171,1/1/08 2:01,011XX W 50TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,921,9,16,61,14,1169701,1871686,2008,1/6/08 1:05,"(41.803407703535896, -87.65314987175319)"
6293300,HP373722,1/1/08 0:01,033XX N KENNETH AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,APARTMENT,FALSE,TRUE,1731,17,30,16,17,1146083,1921906,2008,1/8/09 1:04,"(41.9416977130535, -87.73849301970434)"
6001068,HP103829,1/2/08 14:10,011XX W 80TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,TRUE,612,6,17,71,08B,1170155,1851793,2008,1/11/08 1:05,"(41.74880903083103, -87.65206280554573)"
5995502,HP100065,1/1/08 0:10,011XX W ARGYLE ST,4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,SIDEWALK,TRUE,FALSE,2033,20,48,3,26,1167907,1933613,2008,1/15/08 1:05,"(41.97337857670901, -87.65794172936577)"
6000524,HP101703,1/2/08 0:30,011XX W ERIE ST,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE,TRUE,FALSE,1323,13,27,24,26,1168510,1904469,2008,1/9/08 1:04,"(41.89339296898676, -87.65657033300046)"
5993175,HP101552,1/1/08 21:42,011XX W GRANVILLE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,TRUE,FALSE,2433,24,48,77,08B,1167676,1941375,2008,1/5/08 1:04,"(41.99468269574554, -87.65856630177376)"
5996776,HP102042,1/2/08 0:00,011XX W LILL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1933,19,43,7,14,1168069,1917046,2008,1/9/08 1:04,"(41.92791454737217, -87.65782618002429)"
5992169,HP100520,1/1/08 7:15,011XX W MAXWELL ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,TRUE,TRUE,1232,12,2,28,08B,1168957,1894035,2008,1/11/08 1:05,"(41.864751617786744, -87.65523143939383)"
5997818,HP102433,1/2/08 13:59,011XX W WILSON AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,TRUE,FALSE,2311,19,46,3,18,1167792,1930739,2008,1/6/08 1:05,"(41.96549471524267, -87.65844785963553)"
6651585,HP716416,1/1/08 0:01,012XX N ARTESIAN AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,FALSE,FALSE,1423,14,26,24,6,1159803,1908375,2008,12/15/08 1:03,"(41.90429535973555, -87.68844017387774)"
6144801,HP101680,1/2/08 0:01,012XX N HAMLIN AVE,930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,ALLEY,FALSE,FALSE,2535,25,27,23,7,1150775,1908087,2008,3/26/08 1:05,"(41.903686512796945, -87.72161016108134)"
6041289,HP136741,1/1/08 9:00,012XX N LAKE SHORE DR,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,1824,18,43,8,6,1176989,1908866,2008,2/17/08 1:05,"(41.905270799919734, -87.62529703963955)"
6000573,HP100216,1/1/08 2:15,012XX N LARRABEE ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,1822,18,27,8,08B,1172064,1908588,2008,1/11/08 1:05,"(41.904618076567644, -87.64339620218497)"
5993935,HP101999,1/1/08 12:00,012XX N MASON AVE,820,THEFT,$300 AND UNDER,STREET,FALSE,FALSE,2531,25,29,25,6,1136434,1907445,2008,1/5/08 1:04,"(41.90219332854075, -87.77430410487682)"
5994306,HP100062,1/1/08 0:57,012XX N MAYFIELD AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,FALSE,FALSE,2531,25,29,25,26,1136748,1907964,2008,1/6/08 1:05,"(41.903611907886386, -87.77313826858976)"
5993680,HP101661,1/2/08 0:10,012XX N SPRINGFIELD AVE,2027,NARCOTICS,POSS: CRACK,RESIDENCE,TRUE,FALSE,2535,25,27,23,18,1150185,1908284,2008,1/6/08 1:05,"(41.90423862494578, -87.72377224275095)"
6053185,HP152638,1/1/08 14:00,012XX S INDEPENDENCE BLVD,560,ASSAULT,SIMPLE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,1011,10,24,29,08A,1151489,1894135,2008,2/21/08 1:05,"(41.8653867481364, -87.71935412231663)"
5995269,HP102399,1/2/08 9:00,024XX N AUSTIN AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,2512,25,29,19,5,1135943,1915795,2008,1/8/08 1:04,"(41.92511549349831, -87.77590831134935)"
6158627,HP247896,1/1/08 12:00,012XX S MICHIGAN AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,FALSE,FALSE,133,1,2,33,6,1177467,1894575,2008,4/10/08 1:05,"(41.86604470873852, -87.62397515107105)"
6000517,HP101103,1/1/08 14:00,012XX S PULASKI RD,4210,KIDNAPPING,KIDNAPPING,STREET,FALSE,FALSE,1011,10,24,29,26,1149866,1894342,2008,1/10/08 1:05,"(41.86598647851114, -87.72530688298887)"
5992667,HP100232,1/1/08 2:45,012XX S STATE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,132,1,2,33,14,1176490,1894818,2008,1/5/08 1:04,"(41.866733613328485, -87.62755441689615)"
7349438,HS150835,1/1/08 0:05,012XX W 112TH ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,2234,,34,75,6,,,2008,2/27/10 1:15,
6867276,HR270660,1/1/08 0:01,020XX E 75TH ST,266,CRIM SEXUAL ASSAULT,PREDATORY,APARTMENT,TRUE,FALSE,414,4,8,43,2,1191356,1855607,2008,4/24/09 1:03,"(41.75878806614018, -87.57425219676995)"
5993787,HP100111,1/1/08 1:20,012XX W 60TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,713,7,16,67,08B,1169204,1864954,2008,1/23/08 14:56,"(41.78494510405557, -87.6551673761772)"
6028894,HP100037,1/1/08 0:27,012XX W 79TH ST,545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,CTA BUS,TRUE,FALSE,612,6,17,71,08A,1169659,1852443,2008,1/23/08 14:56,"(41.75060348103483, -87.65386152253302)"
6103435,HP102208,1/2/08 9:00,067XX S MORGAN ST,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,724,7,17,68,5,1170773,1859852,2008,3/4/08 1:04,"(41.77091050624149, -87.64956349762629)"
5994104,HP102147,1/2/08 10:00,012XX W FULLERTON AVE,890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1933,19,32,7,6,1167848,1916127,2008,1/5/08 1:04,"(41.92539753758561, -87.65866483827314)"
8439726,HV116435,1/1/08 0:01,012XX W PRATT BLVD,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,2431,,49,1,6,,,2008,1/22/12 0:40,
5992272,HP100284,1/1/08 2:00,012XX W RANDOLPH ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1212,12,27,28,7,1168028,1901161,2008,4/2/08 1:05,"(41.884326001516634, -87.6584360919461)"
6014690,HP118123,1/1/08 16:00,012XX W SHERWIN AVE,890,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,2423,24,49,1,6,1166281,1948743,2008,2/10/08 1:05,"(42.0149306701174, -87.66348568124619)"
6236266,HP323693,1/1/08 0:01,013XX E 49TH ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,2124,2,4,39,6,1186146,1872823,2008,5/24/08 1:05,"(41.80615476732223, -87.59280284925518)"
6559461,HP619285,1/1/08 9:00,013XX E 69TH ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,FALSE,321,3,5,69,26,1185946,1859646,2008,10/21/08 1:04,"(41.770000740338965, -87.59395197768606)"
5998039,HP102275,1/2/08 3:00,013XX E 72ND PL,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,FALSE,TRUE,324,3,5,43,04A,1186363,1857158,2008,1/9/08 1:04,"(41.763163596157, -87.59250200340811)"
5992270,HP100522,1/1/08 7:05,013XX E 75TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,FALSE,411,4,5,43,08B,1186788,1855503,2008,1/5/08 1:04,"(41.75861206881906, -87.59099666656749)"
5994262,HP102959,1/2/08 8:30,018XX N WOLCOTT AVE,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,1434,14,32,22,5,1163359,1912184,2008,1/18/08 1:04,"(41.914673423375966, -87.6752707041359)"
5991932,HP101062,1/1/08 14:30,013XX N ASHLAND AVE,810,THEFT,OVER $300,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1433,14,1,24,6,1165445,1908848,2008,1/8/08 1:04,"(41.9054750436822, -87.6677021594613)"
5996421,HP104138,1/2/08 10:00,013XX N CALIFORNIA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1423,14,26,24,14,1157518,1909068,2008,1/6/08 1:05,"(41.906243841195796, -87.69681471893841)"
