Year,Month,Value
1821,Nov,39
1821,Dec,65
1822,Jan,20
1822,Feb,20
1822,Mar,20
1822,Apr,9
1822,May,42
1822,Jun,92
1822,Jul,45
1822,Aug,23
1822,Sep,61
1822,Oct,31
1822,Nov,49
1822,Dec,29
1823,Jan,37
1823,Feb,65
1823,Mar,39
1823,Apr,37
1823,May,54
1823,Jun,53
1823,Jul,44
1823,Aug,26
1823,Sep,31
1823,Oct,49
1823,Nov,19
1823,Dec,65
1824,Jan,34
1824,Feb,41
1824,Mar,61
1824,Apr,37
1824,May,76
1824,Jun,47
1824,Jul,40
1824,Aug,58
1824,Sep,71
1824,Oct,110
1824,Nov,44
1824,Dec,33
1825,Jan,26
1825,Feb,31
1825,Mar,23
1825,Apr,58
1825,May,64
1825,Jun,21
1825,Jul,2
1825,Aug,37
1825,Sep,55
1825,Oct,50
1825,Nov,115
1825,Dec,38
1826,Jan,37
1826,Feb,46
1826,Mar,13
1826,Apr,35
1826,May,45
1826,Jun,23
1826,Jul,31
1826,Aug,48
1826,Sep,34
1826,Oct,48
1826,Nov,60
1826,Dec,54
1827,Jan,16
1827,Feb,23
1827,Mar,77
1827,Apr,46
1827,May,116
1827,Jun,18
1827,Jul,38
1827,Aug,32
1827,Sep,44
1827,Oct,69
1827,Nov,27
1827,Dec,71
1828,Jan,63
1828,Feb,43
1828,Mar,68
1828,Apr,64
1828,May,65
1828,Jun,58
1828,Jul,98
1828,Aug,63
1828,Sep,27
1828,Oct,8
1828,Nov,38
1828,Dec,26
1829,Jan,39
1829,Feb,30
1829,Mar,26
1829,Apr,74
1829,May,20
1829,Jun,53
1829,Jul,128
1829,Aug,46
1829,Sep,109
1829,Oct,37
1829,Nov,25
1829,Dec,3
1830,Jan,17
1830,Feb,2
1830,Mar,17
1830,Apr,70
1830,May,123
1830,Jun,78
1830,Jul,64
1830,Aug,74
1830,Sep,76
1830,Oct,9
1830,Nov,60
1830,Dec,54
1831,Jan,25
1831,Feb,47
1831,Mar,46
1831,Apr,47
1831,May,64
1831,Jun,43
1831,Jul,46
1831,Aug,53
1831,Sep,48
1831,Oct,58
1831,Nov,89
1831,Dec,47
1832,Jan,40
1832,Feb,11
1832,Mar,40
1832,Apr,31
1832,May,54
1832,Jun,89
1832,Jul,2
1832,Aug,43
1832,Sep,24
1832,Oct,53
1832,Nov,86
1832,Dec,54
1833,Jan,21
1833,Feb,97
1833,Mar,26
1833,Apr,71
1833,May,24
1833,Jun,48
1833,Jul,39
1833,Aug,43
1833,Sep,58
1833,Oct,24
1833,Nov,44
1833,Dec,99
1834,Jan,83
1834,Feb,18
1834,Mar,16
1834,Apr,28
1834,May,44
1834,Jun,49
1834,Jul,82
1834,Aug,85
1834,Sep,8
1834,Oct,27
1834,Nov,12
1834,Dec,11
1835,Jan,14
1835,Feb,48
1835,Mar,46
1835,Apr,42
1835,May,50
1835,Jun,33
1835,Jul,22
1835,Aug,24
1835,Sep,97
1835,Oct,64
1835,Nov,36
1835,Dec,15
1836,Jan,56
1836,Feb,29
1836,Mar,89
1836,Apr,35
1836,May,26
1836,Jun,49
1836,Jul,38
1836,Aug,83
1836,Sep,64
1836,Oct,79
1836,Nov,105
1836,Dec,58
1837,Jan,39
1837,Feb,83
1837,Mar,18
1837,Apr,78
1837,May,79
1837,Jun,56
1837,Jul,46
1837,Aug,48
1837,Sep,62
1837,Oct,26
1837,Nov,69
1837,Dec,21
1838,Jan,3
1838,Feb,50
1838,Mar,55
1838,Apr,40
1838,May,47
1838,Jun,81
1838,Jul,29
1838,Aug,43
1838,Sep,89
1838,Oct,30
1838,Nov,99
1838,Dec,28
1839,Jan,54
1839,Feb,65
1839,Mar,31
1839,Apr,26
1839,May,34
1839,Jun,116
1839,Jul,31
1839,Aug,26
1839,Sep,99
1839,Oct,62
1839,Nov,62
1839,Dec,53
1840,Jan,40
1840,Feb,14
1840,Mar,8
1840,Apr,68
1840,May,34
1840,Jun,27
1840,Jul,36
1840,Aug,32
1840,Sep,114
1840,Oct,61
1840,Nov,75
1840,Dec,30
1841,Jan,14
1841,Feb,25
1841,Mar,41
1841,Apr,39
1841,May,46
1841,Jun,48
1841,Jul,99
1841,Aug,43
1841,Sep,41
1841,Oct,74
1841,Nov,60
1841,Dec,71
1842,Jan,29
1842,Feb,34
1842,Mar,32
1842,Apr,27
1842,May,24
1842,Jun,41
1842,Jul,15
1842,Aug,15
1842,Sep,86
1842,Oct,29
1842,Nov,61
1842,Dec,9
1843,Jan,76
1843,Feb,80
1843,Mar,4
1843,Apr,58
1843,May,61
1843,Jun,57
1843,Jul,60
1843,Aug,49
1843,Sep,26
1843,Oct,51
1843,Nov,79
1843,Dec,10
1844,Jan,38
1844,Feb,69
1844,Mar,46
1844,Apr,9
1844,May,78
1844,Jun,37
1844,Jul,91
1844,Aug,76
1844,Sep,93
1844,Oct,52
1844,Nov,67
1844,Dec,29
1845,Jan,51
1845,Feb,38
1845,Mar,32
1845,Apr,50
1845,May,58
1845,Jun,82
1845,Jul,48
1845,Aug,50
1845,Sep,76
1845,Oct,35
1845,Nov,75
1845,Dec,78
1846,Jan,77
1846,Feb,20
1846,Mar,53
1846,Apr,74
1846,May,42
1846,Jun,39
1846,Jul,24
1846,Aug,86
1846,Sep,67
1846,Oct,87
1846,Nov,28
1846,Dec,57
1847,Jan,47
1847,Feb,37
1847,Mar,22
1847,Apr,45
1847,May,31
1847,Jun,27
1847,Jul,114
1847,Aug,48
1847,Sep,28
1847,Oct,38
1847,Nov,28
1847,Dec,33
1848,Jan,27
1848,Feb,47
1848,Mar,55
1848,Apr,101
1848,May,21
1848,Jun,65
1848,Jul,53
1848,Aug,112
1848,Sep,20
1848,Oct,53
1848,Nov,38
1848,Dec,42
1849,Jan,54
1849,Feb,18
1849,Mar,31
1849,Apr,62
1849,May,67
1849,Jun,87
1849,Jul,74
1849,Aug,28
1849,Sep,85
1849,Oct,47
1849,Nov,65
1849,Dec,48
1850,Jan,50
1850,Feb,31
1850,Mar,20
1850,Apr,57
1850,May,61
1850,Jun,24
1850,Jul,44
1850,Aug,158
1850,Sep,33
1850,Oct,62
1850,Nov,50
1850,Dec,49
1851,Jan,42
1851,Feb,21
1851,Mar,77
1851,Apr,75
1851,May,36
1851,Jun,13
1851,Jul,87
1851,Aug,28
1851,Sep,29
1851,Oct,46
1851,Nov,44
1851,Dec,18
1852,Jan,65
1852,Feb,18
1852,Mar,35
1852,Apr,23
1852,May,70
1852,Jun,73
1852,Jul,36
1852,Aug,56
1852,Sep,75
1852,Oct,87
1852,Nov,60
1852,Dec,54
1853,Jan,81
1853,Feb,18
1853,Mar,29
1853,Apr,70
1853,May,50
1853,Jun,46
1853,Jul,47
1853,Aug,72
1853,Sep,33
1853,Oct,55
1853,Nov,12
1853,Dec,10
1854,Jan,45
1854,Feb,24
1854,Mar,2
1854,Apr,28
1854,May,80
1854,Jun,195
1854,Jul,104
1854,Aug,47
1854,Sep,14
1854,Oct,74
1854,Nov,64
1854,Dec,59
1855,Jan,29
1855,Feb,37
1855,Mar,45
1855,Apr,9
1855,May,90
1855,Jun,52
1855,Jul,41
1855,Aug,39
1855,Sep,12
1855,Oct,61
1855,Nov,28
1855,Dec,22
1856,Jan,46
1856,Feb,8
1856,Mar,35
1856,Apr,59
1856,May,135
1856,Jun,51
1856,Jul,57
1856,Aug,56
1856,Sep,72
1856,Oct,29
1856,Nov,55
1856,Dec,34
1857,Jan,69
1857,Feb,17
1857,Mar,27
1857,Apr,62
1857,May,62
1857,Jun,81
1857,Jul,15
1857,Aug,69
1857,Sep,82
1857,Oct,63
1857,Nov,12
1857,Dec,20
1858,Jan,16
1858,Feb,14
1858,Mar,59
1858,Apr,45
1858,May,51
1858,Jun,44
1858,Jul,104
1858,Aug,71
1858,Sep,21
1858,Oct,12
1858,Nov,59
1858,Dec,68
1859,Jan,31
1859,Feb,19
1859,Mar,20
1859,Apr,56
1859,May,43
1859,Jun,79
1859,Jul,34
1859,Aug,28
1859,Sep,84
1859,Oct,117
1859,Nov,50
1859,Dec,80
1860,Jan,81
1860,Feb,46
1860,Mar,45
1860,Apr,39
1860,May,68
1860,Jun,42
1860,Jul,100
1860,Aug,84
1860,Sep,90
1860,Oct,60
1860,Nov,35
1860,Dec,68
1861,Jan,7
1861,Feb,30
1861,Mar,58
1861,Apr,31
1861,May,35
1861,Jun,84
1861,Jul,117
1861,Aug,10
1861,Sep,47
1861,Oct,18
1861,Nov,56
1861,Dec,27
1862,Jan,38
1862,Feb,9
1862,Mar,76
1862,Apr,25
1862,May,56
1862,Jun,60
1862,Jul,46
1862,Aug,62
1862,Sep,59
1862,Oct,82
1862,Nov,23
1862,Dec,48
1863,Jan,49
1863,Feb,10
1863,Mar,31
1863,Apr,12
1863,May,33
1863,Jun,51
1863,Jul,27
1863,Aug,25
1863,Sep,64
1863,Oct,93
1863,Nov,52
1863,Dec,49
1864,Jan,26
1864,Feb,22
1864,Mar,47
1864,Apr,12
1864,May,34
1864,Jun,74
1864,Jul,11
1864,Aug,32
1864,Sep,54
1864,Oct,35
1864,Nov,71
1864,Dec,11
1865,Jan,72
1865,Feb,51
1865,Mar,38
1865,Apr,13
1865,May,79
1865,Jun,19
1865,Jul,72
1865,Aug,29
1865,Sep,58
1865,Oct,65
1865,Nov,72
1865,Dec,13
1866,Jan,60
1866,Feb,59
1866,Mar,61
1866,Apr,80
1866,May,55
1866,Jun,54
1866,Jul,76
1866,Aug,91
1866,Sep,107
1866,Oct,20
1866,Nov,36
1866,Dec,44
1867,Jan,47
1867,Feb,44
1867,Mar,78
1867,Apr,64
1867,May,84
1867,Jun,43
1867,Jul,79
1867,Aug,62
1867,Sep,44
1867,Oct,35
1867,Nov,20
1867,Dec,30
1868,Jan,52
1868,Feb,7
1868,Mar,23
1868,Apr,87
1868,May,27
1868,Jun,45
1868,Jul,22
1868,Aug,81
1868,Sep,55
1868,Oct,82
1868,Nov,22
1868,Dec,81
1869,Jan,36
1869,Feb,8
1869,Mar,63
1869,Apr,35
1869,May,114
1869,Jun,27
1869,Jul,43
1869,Aug,12
1869,Sep,55
1869,Oct,33
1869,Nov,64
1869,Dec,43
1870,Jan,35
1870,Feb,15
1870,Mar,17
1870,Apr,4
1870,May,48
1870,Jun,2
1870,Jul,44
1870,Aug,45
1870,Sep,38
1870,Oct,108
1870,Nov,57
1870,Dec,32
1871,Jan,18
1871,Feb,38
1871,Mar,21
1871,Apr,65
1871,May,37
1871,Jun,126
1871,Jul,79
1871,Aug,47
1871,Sep,66
1871,Oct,39
1871,Nov,10
1871,Dec,17
1872,Jan,64
1872,Feb,32
1872,Mar,25
1872,Apr,39
1872,May,77
1872,Jun,48
1872,Jul,70
1872,Aug,52
1872,Sep,33
1872,Oct,73
1872,Nov,139
1872,Dec,92
1873,Jan,41
1873,Feb,64
1873,Mar,44
1873,Apr,48
1873,May,49
1873,Jun,130
1873,Jul,46
1873,Aug,45
1873,Sep,59
1873,Oct,79
1873,Nov,38
1873,Dec,6
1874,Jan,32
1874,Feb,19
1874,Mar,10
1874,Apr,20
1874,May,26
1874,Jun,45
1874,Jul,60
1874,Aug,31
1874,Sep,65
1874,Oct,59
1874,Nov,43
1874,Dec,75
1875,Jan,67
1875,Feb,8
1875,Mar,8
1875,Apr,10
1875,May,22
1875,Jun,79
1875,Jul,74
1875,Aug,72
1875,Sep,38
1875,Oct,66
1875,Nov,76
1875,Dec,20
1876,Jan,13
1876,Feb,56
1876,Mar,70
1876,Apr,22
1876,May,20
1876,Jun,71
1876,Jul,18
1876,Aug,81
1876,Sep,91
1876,Oct,44
1876,Nov,55
1876,Dec,48
1877,Jan,80
1877,Feb,52
1877,Mar,80
1877,Apr,68
1877,May,82
1877,Jun,23
1877,Jul,71
1877,Aug,43
1877,Sep,48
1877,Oct,46
1877,Nov,60
1877,Dec,54
1878,Jan,24
1878,Feb,13
1878,Mar,35
1878,Apr,74
1878,May,70
1878,Jun,74
1878,Jul,30
1878,Aug,70
1878,Sep,16
1878,Oct,114
1878,Nov,68
1878,Dec,50
1879,Jan,43
1879,Feb,45
1879,Mar,26
1879,Apr,77
1879,May,39
1879,Jun,48
1879,Jul,65
1879,Aug,53
1879,Sep,31
1879,Oct,24
1879,Nov,12
1879,Dec,10
1880,Jan,10
1880,Feb,39
1880,Mar,4
1880,Apr,52
1880,May,5
1880,Jun,70
1880,Jul,71
1880,Aug,40
1880,Sep,46
1880,Oct,99
1880,Nov,40
1880,Dec,53
1881,Jan,59
1881,Feb,25
1881,Mar,40
1881,Apr,49
1881,May,34
1881,Jun,39
1881,Jul,33
1881,Aug,57
1881,Sep,91
1881,Oct,27
1881,Nov,31
1881,Dec,26
1882,Jan,9
1882,Feb,19
1882,Mar,33
1882,Apr,65
1882,May,28
1882,Jun,32
1882,Jul,43
1882,Aug,41
1882,Sep,64
1882,Oct,56
1882,Nov,115
1882,Dec,67
1883,Jan,53
1883,Feb,29
1883,Mar,14
1883,Apr,23
1883,May,35
1883,Jun,43
1883,Jul,60
1883,Aug,34
1883,Sep,73
1883,Oct,71
1883,Nov,58
1883,Dec,21
1884,Jan,28
1884,Feb,37
1884,Mar,21
1884,Apr,19
1884,May,38
1884,Jun,45
1884,Jul,24
1884,Aug,44
1884,Sep,31
1884,Oct,16
1884,Nov,18
1884,Dec,67
1885,Jan,15
1885,Feb,41
1885,Mar,44
1885,Apr,45
1885,May,32
1885,Jun,74
1885,Jul,11
1885,Aug,31
1885,Sep,52
1885,Oct,104
1885,Nov,51
1885,Dec,44
1886,Jan,56
1886,Feb,19
1886,Mar,51
1886,Apr,47
1886,May,67
1886,Jun,116
1886,Jul,50
1886,Aug,79
1886,Sep,28
1886,Oct,98
1886,Nov,44
1886,Dec,73
1887,Jan,19
1887,Feb,2
1887,Mar,18
1887,Apr,37
1887,May,73
1887,Jun,30
1887,Jul,73
1887,Aug,55
1887,Sep,33
1887,Oct,42
1887,Nov,49
1887,Dec,48
1888,Jan,22
1888,Feb,38
1888,Mar,88
1888,Apr,56
1888,May,20
1888,Jun,80
1888,Jul,76
1888,Aug,48
1888,Sep,23
1888,Oct,20
1888,Nov,48
1888,Dec,32
1889,Jan,30
1889,Feb,62
1889,Mar,29
1889,Apr,57
1889,May,85
1889,Jun,41
1889,Jul,36
1889,Aug,47
1889,Sep,24
1889,Oct,67
1889,Nov,32
1889,Dec,33
1890,Jan,52
1890,Feb,4
1890,Mar,29
1890,Apr,45
1890,May,72
1890,Jun,54
1890,Jul,105
1890,Aug,63
1890,Sep,49
1890,Oct,20
1890,Nov,82
1890,Dec,19
1891,Jan,24
1891,Feb,4
1891,Mar,76
1891,Apr,50
1891,May,57
1891,Jun,69
1891,Jul,57
1891,Aug,27
1891,Sep,35
1891,Oct,45
1891,Nov,45
1891,Dec,62
1892,Jan,16
1892,Feb,66
1892,Mar,53
1892,Apr,14
1892,May,15
1892,Jun,41
1892,Jul,68
1892,Aug,62
1892,Sep,37
1892,Oct,150
1892,Nov,47
1892,Dec,45
1893,Jan,55
1893,Feb,55
1893,Mar,6
1893,Apr,0
1893,May,46
1893,Jun,42
1893,Jul,76
1893,Aug,17
1893,Sep,41
1893,Oct,83
1893,Nov,42
1893,Dec,55
1894,Jan,50
1894,Feb,21
1894,Mar,23
1894,Apr,39
1894,May,28
1894,Jun,30
1894,Jul,54
1894,Aug,58
1894,Sep,91
1894,Oct,32
1894,Nov,25
1894,Dec,36
1895,Jan,41
1895,Feb,3
1895,Mar,32
1895,Apr,31
1895,May,50
1895,Jun,37
1895,Jul,59
1895,Aug,49
1895,Sep,0
1895,Oct,58
1895,Nov,58
1895,Dec,51
1896,Jan,5
1896,Feb,0
1896,Mar,6
1896,Apr,19
1896,May,6
1896,Jun,85
1896,Jul,64
1896,Aug,28
1896,Sep,149
1896,Oct,167
1896,Nov,50
1896,Dec,68
1897,Jan,46
1897,Feb,38
1897,Mar,77
1897,Apr,71
1897,May,36
1897,Jun,67
1897,Jul,38
1897,Aug,85
1897,Sep,48
1897,Oct,2
1897,Nov,18
1897,Dec,53
1898,Jan,7
1898,Feb,62
1898,Mar,62
1898,Apr,20
1898,May,101
1898,Jun,51
1898,Jul,25
1898,Aug,41
1898,Sep,24
1898,Oct,54
1898,Nov,59
1898,Dec,33
1899,Jan,81
1899,Feb,14
1899,Mar,15
1899,Apr,70
1899,May,39
1899,Jun,49
1899,Jul,44
1899,Aug,32
1899,Sep,75
1899,Oct,28
1899,Nov,20
1899,Dec,67
1900,Jan,69
1900,Feb,77
1900,Mar,20
1900,Apr,20
1900,May,41
1900,Jun,26
1900,Jul,27
1900,Aug,48
1900,Sep,26
1900,Oct,35
1900,Nov,69
1900,Dec,40
1901,Jan,33
1901,Feb,28
1901,Mar,72
1901,Apr,63
1901,May,75
1901,Jun,39
1901,Jul,53
1901,Aug,19
1901,Sep,62
1901,Oct,35
1901,Nov,9
1901,Dec,60
1902,Jan,21
1902,Feb,63
1902,Mar,35
1902,Apr,66
1902,May,90
1902,Jun,72
1902,Jul,21
1902,Aug,53
1902,Sep,47
1902,Oct,46
1902,Nov,43
1902,Dec,16
1903,Jan,47
1903,Feb,13
1903,Mar,42
1903,Apr,41
1903,May,62
1903,Jun,33
1903,Jul,77
1903,Aug,77
1903,Sep,53
1903,Oct,98
1903,Nov,42
1903,Dec,32
1904,Jan,45
1904,Feb,72
1904,Mar,40
1904,Apr,36
1904,May,52
1904,Jun,56
1904,Jul,43
1904,Aug,42
1904,Sep,87
1904,Oct,21
1904,Nov,13
1904,Dec,89
1905,Jan,24
1905,Feb,29
1905,Mar,74
1905,Apr,40
1905,May,87
1905,Jun,123
1905,Jul,37
1905,Aug,74
1905,Sep,77
1905,Oct,34
1905,Nov,115
1905,Dec,21
1906,Jan,83
1906,Feb,48
1906,Mar,35
1906,Apr,69
1906,May,81
1906,Jun,6
1906,Jul,75
1906,Aug,57
1906,Sep,28
1906,Oct,54
1906,Nov,100
1906,Dec,54
1907,Jan,14
1907,Feb,37
1907,Mar,23
1907,Apr,65
1907,May,108
1907,Jun,29
1907,Jul,25
1907,Aug,21
1907,Sep,18
1907,Oct,104
1907,Nov,30
1907,Dec,50
1908,Jan,12
1908,Feb,45
1908,Mar,53
1908,Apr,33
1908,May,77
1908,Jun,81
1908,Jul,52
1908,Aug,43
1908,Sep,57
1908,Oct,28
1908,Nov,41
1908,Dec,43
1909,Jan,41
1909,Feb,11
1909,Mar,73
1909,Apr,22
1909,May,38
1909,Jun,99
1909,Jul,71
1909,Aug,47
1909,Sep,51
1909,Oct,106
1909,Nov,21
1909,Dec,80
1910,Jan,80
1910,Feb,86
1910,Mar,23
1910,Apr,64
1910,May,80
1910,Jun,91
1910,Jul,80
1910,Aug,45
1910,Sep,20
1910,Oct,69
1910,Nov,117
1910,Dec,54
1911,Jan,13
1911,Feb,17
1911,Mar,32
1911,Apr,28
1911,May,49
1911,Jun,59
1911,Jul,18
1911,Aug,9
1911,Sep,29
1911,Oct,78
1911,Nov,57
1911,Dec,112
1912,Jan,58
1912,Feb,39
1912,Mar,66
1912,Apr,15
1912,May,54
1912,Jun,77
1912,Jul,71
1912,Aug,87
1912,Sep,13
1912,Oct,48
1912,Nov,56
1912,Dec,42
1913,Jan,74
1913,Feb,24
1913,Mar,52
1913,Apr,70
1913,May,93
1913,Jun,20
1913,Jul,64
1913,Aug,45
1913,Sep,34
1913,Oct,50
1913,Nov,66
1913,Dec,75
1914,Jan,36
1914,Feb,34
1914,Mar,67
1914,Apr,23
1914,May,43
1914,Jun,62
1914,Jul,78
1914,Aug,37
1914,Sep,78
1914,Oct,30
1914,Nov,38
1914,Dec,84
1915,Jan,64
1915,Feb,51
1915,Mar,24
1915,Apr,53
1915,May,42
1915,Jun,49
1915,Jul,63
1915,Aug,62
1915,Sep,60
1915,Oct,28
1915,Nov,62
1915,Dec,138
1916,Jan,23
1916,Feb,90
1916,Mar,57
1916,Apr,45
1916,May,70
1916,Jun,31
1916,Jul,45
1916,Aug,47
1916,Sep,91
1916,Oct,57
1916,Nov,47
1916,Dec,82
1917,Jan,33
1917,Feb,27
1917,Mar,75
1917,Apr,68
1917,May,24
1917,Jun,67
1917,Jul,111
1917,Aug,53
1917,Sep,19
1917,Oct,78
1917,Nov,33
1917,Dec,27
1918,Jan,47
1918,Feb,17
1918,Mar,62
1918,Apr,57
1918,May,59
1918,Jun,11
1918,Jul,60
1918,Aug,45
1918,Sep,86
1918,Oct,31
1918,Nov,74
1918,Dec,58
1919,Jan,82
1919,Feb,89
1919,Mar,74
1919,Apr,73
1919,May,19
1919,Jun,10
1919,Jul,75
1919,Aug,32
1919,Sep,30
1919,Oct,42
1919,Nov,93
1919,Dec,92
1920,Jan,74
1920,Feb,12
1920,Mar,26
1920,Apr,47
1920,May,65
1920,Jun,33
1920,Jul,84
1920,Aug,19
1920,Sep,20
1920,Oct,88
1920,Nov,27
1920,Dec,38
1921,Jan,22
1921,Feb,3
1921,Mar,18
1921,Apr,22
1921,May,35
1921,Jun,1
1921,Jul,16
1921,Aug,56
1921,Sep,16
1921,Oct,15
1921,Nov,31
1921,Dec,34
1922,Jan,52
1922,Feb,46
1922,Mar,64
1922,Apr,88
1922,May,31
1922,Jun,70
1922,Jul,40
1922,Aug,103
1922,Sep,69
1922,Oct,52
1922,Nov,60
1922,Dec,71
1923,Jan,34
1923,Feb,66
1923,Mar,50
1923,Apr,46
1923,May,66
1923,Jun,30
1923,Jul,47
1923,Aug,18
1923,Sep,57
1923,Oct,114
1923,Nov,45
1923,Dec,109
1924,Jan,53
1924,Feb,27
1924,Mar,59
1924,Apr,58
1924,May,36
1924,Jun,61
1924,Jul,39
1924,Aug,93
1924,Sep,57
1924,Oct,46
1924,Nov,36
1924,Dec,44
1925,Jan,31
1925,Feb,68
1925,Mar,59
1925,Apr,57
1925,May,51
1925,Jun,27
1925,Jul,97
1925,Aug,97
1925,Sep,18
1925,Oct,63
1925,Nov,69
1925,Dec,89
1926,Jan,53
1926,Feb,70
1926,Mar,27
1926,Apr,60
1926,May,57
1926,Jun,67
1926,Jul,76
1926,Aug,13
1926,Sep,3
1926,Oct,103
1926,Nov,79
1926,Dec,9
1927,Jan,85
1927,Feb,47
1927,Mar,68
1927,Apr,40
1927,May,68
1927,Jun,98
1927,Jul,116
1927,Aug,66
1927,Sep,50
1927,Oct,21
1927,Nov,45
1927,Dec,53
1928,Jan,58
1928,Feb,53
1928,Mar,55
1928,Apr,109
1928,May,57
1928,Jun,69
1928,Jul,15
1928,Aug,45
1928,Sep,23
1928,Oct,112
1928,Nov,71
1928,Dec,43
1929,Jan,11
1929,Feb,23
1929,Mar,0
1929,Apr,29
1929,May,30
1929,Jun,27
1929,Jul,49
1929,Aug,14
1929,Sep,11
1929,Oct,89
1929,Nov,77
1929,Dec,100
1930,Jan,36
1930,Feb,15
1930,Mar,51
1930,Apr,58
1930,May,71
1930,Jun,31
1930,Jul,70
1930,Aug,61
1930,Sep,52
1930,Oct,86
1930,Nov,115
1930,Dec,38
1931,Jan,60
1931,Feb,44
1931,Mar,29
1931,Apr,64
1931,May,124
1931,Jun,44
1931,Jul,103
1931,Aug,162
1931,Sep,19
1931,Oct,46
1931,Nov,63
1931,Dec,36
1932,Jan,20
1932,Feb,4
1932,Mar,36
1932,Apr,69
1932,May,71
1932,Jun,12
1932,Jul,53
1932,Aug,28
1932,Sep,80
1932,Oct,81
1932,Nov,25
1932,Dec,22
1933,Jan,29
1933,Feb,27
1933,Mar,36
1933,Apr,13
1933,May,91
1933,Jun,44
1933,Jul,36
1933,Aug,15
1933,Sep,48
1933,Oct,64
1933,Nov,42
1933,Dec,18
1934,Jan,43
1934,Feb,6
1934,Mar,53
1934,Apr,33
1934,May,13
1934,Jun,26
1934,Jul,50
1934,Aug,67
1934,Sep,54
1934,Oct,60
1934,Nov,72
1934,Dec,94
1935,Jan,38
1935,Feb,73
1935,Mar,28
1935,Apr,62
1935,May,36
1935,Jun,103
1935,Jul,8
1935,Aug,64
1935,Sep,44
1935,Oct,21
1935,Nov,51
1935,Dec,107
1936,Jan,117
1936,Feb,51
1936,Mar,32
1936,Apr,68
1936,May,11
1936,Jun,92
1936,Jul,155
1936,Aug,37
1936,Sep,60
1936,Oct,21
1936,Nov,46
1936,Dec,18
1937,Jan,86
1937,Feb,96
1937,Mar,79
1937,Apr,65
1937,May,106
1937,Jun,38
1937,Jul,31
1937,Aug,9
1937,Sep,70
1937,Oct,64
1937,Nov,16
1937,Dec,89
1938,Jan,69
1938,Feb,11
1938,Mar,9
1938,Apr,11
1938,May,33
1938,Jun,8
1938,Jul,66
1938,Aug,53
1938,Sep,66
1938,Oct,46
1938,Nov,77
1938,Dec,42
1939,Jan,92
1939,Feb,48
1939,Mar,39
1939,Apr,50
1939,May,44
1939,Jun,63
1939,Jul,44
1939,Aug,77
1939,Sep,47
1939,Oct,67
1939,Nov,70
1939,Dec,28
1940,Jan,54
1940,Feb,48
1940,Mar,32
1940,Apr,65
1940,May,62
1940,Jun,18
1940,Jul,88
1940,Aug,3
1940,Sep,71
1940,Oct,42
1940,Nov,49
1940,Dec,85
1941,Jan,86
1941,Feb,105
1941,Mar,45
1941,Apr,64
1941,May,59
1941,Jun,95
1941,Jul,59
1941,Aug,89
1941,Sep,16
1941,Oct,23
1941,Nov,54
1941,Dec,35
1942,Jan,71
1942,Feb,34
1942,Mar,59
1942,Apr,24
1942,May,110
1942,Jun,35
1942,Jul,117
1942,Aug,60
1942,Sep,130
1942,Oct,97
1942,Nov,24
1942,Dec,68
1943,Jan,76
1943,Feb,23
1943,Mar,10
1943,Apr,25
1943,May,61
1943,Jun,38
1943,Jul,22
1943,Aug,110
1943,Sep,54
1943,Oct,29
1943,Nov,59
1943,Dec,34
1944,Jan,40
1944,Feb,31
1944,Mar,8
1944,Apr,28
1944,May,6
1944,Jun,30
1944,Jul,90
1944,Aug,128
1944,Sep,39
1944,Oct,95
1944,Nov,131
1944,Dec,54
1945,Jan,67
1945,Feb,36
1945,Mar,19
1945,Apr,28
1945,May,50
1945,Jun,22
1945,Jul,17
1945,Aug,50
1945,Sep,44
1945,Oct,25
1945,Nov,18
1945,Dec,46
1946,Jan,21
1946,Feb,69
1946,Mar,47
1946,Apr,70
1946,May,94
1946,Jun,64
1946,Jul,34
1946,Aug,58
1946,Sep,21
1946,Oct,43
1946,Nov,54
1946,Dec,53
1947,Jan,50
1947,Feb,40
1947,Mar,75
1947,Apr,31
1947,May,49
1947,Jun,72
1947,Jul,50
1947,Aug,77
1947,Sep,13
1947,Oct,19
1947,Nov,58
1947,Dec,77
1948,Jan,74
1948,Feb,42
1948,Mar,20
1948,Apr,71
1948,May,59
1948,Jun,91
1948,Jul,27
1948,Aug,98
1948,Sep,42
1948,Oct,21
1948,Nov,51
1948,Dec,43
1949,Jan,24
1949,Feb,14
1949,Mar,18
1949,Apr,22
1949,May,41
1949,Jun,33
1949,Jul,6
1949,Aug,27
1949,Sep,80
1949,Oct,56
1949,Nov,53
1949,Dec,25
1950,Jan,26
1950,Feb,76
1950,Mar,25
1950,Apr,72
1950,May,87
1950,Jun,35
1950,Jul,81
1950,Aug,50
1950,Sep,85
1950,Oct,14
1950,Nov,63
1950,Dec,77
1951,Jan,42
1951,Feb,65
1951,Mar,59
1951,Apr,47
1951,May,124
1951,Jun,92
1951,Jul,30
1951,Aug,143
1951,Sep,48
1951,Oct,29
1951,Nov,64
1951,Dec,38
1952,Jan,60
1952,Feb,51
1952,Mar,86
1952,Apr,9
1952,May,53
1952,Jun,22
1952,Jul,9
1952,Aug,71
1952,Sep,113
1952,Oct,64
1952,Nov,98
1952,Dec,80
1953,Jan,17
1953,Feb,32
1953,Mar,0
1953,Apr,50
1953,May,23
1953,Jun,86
1953,Jul,79
1953,Aug,44
1953,Sep,40
