Year,Month,Value
1722,Jul,26
1722,Aug,59
1722,Sep,52
1722,Oct,0
1722,Nov,24
1722,Dec,27
1723,Jan,17
1723,Feb,19
1723,Mar,10
1723,Apr,2
1723,May,16
1723,Jun,36
1723,Jul,49
1723,Aug,17
1723,Sep,19
1723,Oct,9
1723,Nov,14
1723,Dec,21
1724,Jan,19
1724,Feb,46
1724,Mar,35
1724,Apr,27
1724,May,10
1724,Jun,67
1724,Jul,11
1724,Aug,10
1724,Sep,5
1724,Oct,35
1724,Nov,18
1724,Dec,52
1725,Jan,31
1725,Feb,0
1725,Mar,15
1725,Apr,19
1725,May,78
1725,Jun,103
1725,Jul,34
1725,Aug,70
1725,Sep,25
1725,Oct,29
1725,Nov,7
1725,Dec,63
1726,Jan,39
1726,Feb,24
1726,Mar,18
1726,Apr,16
1726,May,5
1726,Jun,55
1726,Jul,36
1726,Aug,6
1726,Sep,41
1726,Oct,24
1726,Nov,29
1726,Dec,14
1727,Jan,28
1727,Feb,14
1727,Mar,11
1727,Apr,21
1727,May,38
1727,Jun,61
1727,Jul,29
1727,Aug,6
1727,Sep,41
1727,Oct,38
1727,Nov,39
1727,Dec,45
1728,Jan,80
1728,Feb,1
1728,Mar,44
1728,Apr,47
1728,May,50
1728,Jun,27
1728,Jul,22
1728,Aug,29
1728,Sep,15
1728,Oct,34
1728,Nov,37
1728,Dec,50
1729,Jan,31
1729,Feb,13
1729,Mar,18
1729,Apr,45
1729,May,99
1729,Jun,20
1729,Jul,50
1729,Aug,64
1729,Sep,45
1729,Oct,30
1729,Nov,19
1729,Dec,27
1730,Jan,2
1730,Feb,36
1730,Mar,39
1730,Apr,41
1730,May,35
1730,Jun,69
1730,Jul,58
1730,Aug,18
1730,Sep,34
1730,Oct,48
1730,Nov,30
1730,Dec,25
1731,Jan,31
1731,Feb,12
1731,Mar,0
1731,Apr,6
1731,May,23
1731,Jun,20
1731,Jul,19
1731,Aug,42
1731,Sep,55
1731,Oct,5
1731,Nov,35
1731,Dec,31
1732,Jan,14
1732,Feb,15
1732,Mar,21
1732,Apr,35
1732,May,75
1732,Jun,65
1732,Jul,24
1732,Aug,19
1732,Sep,69
1732,Oct,69
1732,Nov,19
1732,Dec,16
1733,Jan,25
1733,Feb,21
1733,Mar,44
1733,Apr,11
1733,May,61
1733,Jun,41
1733,Jul,14
1733,Aug,20
1733,Sep,7
1733,Oct,5
1733,Nov,11
1733,Dec,7
1734,Jan,33
1734,Feb,20
1734,Mar,40
1734,Apr,30
1734,May,53
1734,Jun,32
1734,Jul,85
1734,Aug,23
1734,Sep,5
1734,Oct,54
1734,Nov,18
1734,Dec,76
1735,Jan,50
1735,Feb,5
1735,Mar,23
1735,Apr,33
1735,May,64
1735,Jun,50
1735,Jul,50
1735,Aug,24
1735,Sep,34
1735,Oct,12
1735,Nov,6
1735,Dec,24
1736,Jan,25
1736,Feb,23
1736,Mar,25
1736,Apr,21
1736,May,38
1736,Jun,82
1736,Jul,26
1736,Aug,37
1736,Sep,25
1736,Oct,34
1736,Nov,15
1736,Dec,57
1737,Jan,14
1737,Feb,15
1737,Mar,23
1737,Apr,8
1737,May,31
1737,Jun,83
1737,Jul,65
1737,Aug,65
1737,Sep,53
1737,Oct,36
1737,Nov,29
1737,Dec,9
1738,Jan,31
1738,Feb,14
1738,Mar,49
1738,Apr,30
1738,May,99
1738,Jun,41
1738,Jul,18
1738,Aug,40
1738,Sep,29
1738,Oct,31
1738,Nov,14
1738,Dec,5
1739,Jan,44
1739,Feb,29
1739,Mar,33
1739,Apr,46
1739,May,48
1739,Jun,42
1739,Jul,46
1739,Aug,56
1739,Sep,53
1739,Oct,75
1739,Nov,24
1739,Dec,20
1740,Jan,13
1740,Feb,10
1740,Mar,20
1740,Apr,32
1740,May,62
1740,Jun,16
1740,Jul,91
1740,Aug,68
1740,Sep,28
1740,Oct,50
1740,Nov,58
1740,Dec,137
1741,Jan,30
1741,Feb,19
1741,Mar,9
1741,Apr,5
1741,May,34
1741,Jun,36
1741,Jul,74
1741,Aug,21
1741,Sep,67
1741,Oct,16
1741,Nov,19
1741,Dec,18
1742,Jan,44
1742,Feb,15
1742,Mar,10
1742,Apr,26
1742,May,10
1742,Jun,32
1742,Jul,59
1742,Aug,20
1742,Sep,34
1742,Oct,31
1742,Nov,60
1742,Dec,5
1743,Jan,12
1743,Feb,30
1743,Mar,36
1743,Apr,48
1743,May,31
1743,Jun,27
1743,Jul,43
1743,Aug,39
1743,Sep,2
1743,Oct,39
1743,Nov,31
1743,Dec,18
1744,Jan,12
1744,Feb,5
1744,Mar,29
1744,Apr,39
1744,May,65
1744,Jun,9
1744,Jul,33
1744,Aug,35
1744,Sep,60
1744,Oct,100
1744,Nov,46
1744,Dec,4
1745,Jan,8
1745,Feb,17
1745,Mar,13
1745,Apr,11
1745,May,34
1745,Jun,42
1745,Jul,42
1745,Aug,60
1745,Sep,25
1745,Oct,13
1745,Nov,33
1745,Dec,41
1746,Jan,34
1746,Feb,11
1746,Mar,32
1746,Apr,12
1746,May,24
1746,Jun,53
1746,Jul,60
1746,Aug,59
1746,Sep,29
1746,Oct,12
1746,Nov,24
1746,Dec,32
1747,Jan,12
1747,Feb,15
1747,Mar,26
1747,Apr,48
1747,May,39
1747,Jun,27
1747,Jul,44
1747,Aug,57
1747,Sep,11
1747,Oct,40
1747,Nov,74
1747,Dec,62
1748,Jan,14
1748,Feb,8
1748,Mar,33
1748,Apr,36
1748,May,29
1748,Jun,44
1748,Jul,36
1748,Aug,74
1748,Sep,51
1748,Oct,49
1748,Nov,47
1748,Dec,78
1749,Jan,46
1749,Feb,48
1749,Mar,33
1749,Apr,55
1749,May,41
1749,Jun,46
1749,Jul,42
1749,Aug,50
1749,Sep,21
1749,Oct,38
1749,Nov,64
1749,Dec,32
1750,Jan,18
1750,Feb,12
1750,Mar,14
1750,Apr,65
1750,May,71
1750,Jun,74
1750,Jul,53
1750,Aug,93
1750,Sep,20
1750,Oct,17
1750,Nov,82
1750,Dec,44
1751,Jan,49
1751,Feb,30
1751,Mar,85
1751,Apr,104
1751,May,71
1751,Jun,11
1751,Jul,37
1751,Aug,63
1751,Sep,51
1751,Oct,66
1751,Nov,24
1751,Dec,35
1752,Jan,42
1752,Feb,52
1752,Mar,37
1752,Apr,16
1752,May,35
1752,Jun,60
1752,Jul,123
1752,Aug,48
1752,Sep,14
1752,Oct,0
1752,Nov,29
1752,Dec,70
1753,Jan,20
1753,Feb,48
1753,Mar,17
1753,Apr,61
1753,May,41
1753,Jun,22
1753,Jul,26
1753,Aug,33
1753,Sep,11
1753,Oct,64
1753,Nov,103
1753,Dec,36
1754,Jan,41
1754,Feb,25
1754,Mar,12
1754,Apr,61
1754,May,41
1754,Jun,21
1754,Jul,33
1754,Aug,15
1754,Sep,1
1754,Oct,44
1754,Nov,39
1754,Dec,41
1755,Jan,
1755,Feb,
1755,Mar,
1755,Apr,
1755,May,
1755,Jun,
1755,Jul,
1755,Aug,
1755,Sep,
1755,Oct,
1755,Nov,
1755,Dec,
1756,Jan,
1756,Feb,
1756,Mar,
1756,Apr,
1756,May,
1756,Jun,
1756,Jul,
1756,Aug,
1756,Sep,
1756,Oct,
1756,Nov,
1756,Dec,
1757,Jan,
1757,Feb,
1757,Mar,
1757,Apr,
1757,May,
1757,Jun,
1757,Jul,
1757,Aug,
1757,Sep,
1757,Oct,
1757,Nov,
1757,Dec,
1758,Jan,
1758,Feb,
1758,Mar,
1758,Apr,
1758,May,
1758,Jun,
1758,Jul,
1758,Aug,
1758,Sep,
1758,Oct,
1758,Nov,
1758,Dec,
1759,Jan,
1759,Feb,
1759,Mar,
1759,Apr,
1759,May,
1759,Jun,
1759,Jul,
1759,Aug,
1759,Sep,
1759,Oct,
1759,Nov,
1759,Dec,
1760,Jan,
1760,Feb,
1760,Mar,
1760,Apr,
1760,May,
1760,Jun,
1760,Jul,
1760,Aug,
1760,Sep,
1760,Oct,
1760,Nov,
1760,Dec,
1761,Jan,
1761,Feb,
1761,Mar,
1761,Apr,
1761,May,
1761,Jun,
1761,Jul,
1761,Aug,
1761,Sep,
1761,Oct,
1761,Nov,
1761,Dec,
1762,Jan,
1762,Feb,
1762,Mar,
1762,Apr,
1762,May,
1762,Jun,
1762,Jul,
1762,Aug,
1762,Sep,
1762,Oct,
1762,Nov,
1762,Dec,
1763,Jan,
1763,Feb,
1763,Mar,
1763,Apr,
1763,May,
1763,Jun,
1763,Jul,
1763,Aug,
1763,Sep,
1763,Oct,
1763,Nov,
1763,Dec,
1764,Jan,
1764,Feb,
1764,Mar,
1764,Apr,
1764,May,
1764,Jun,
1764,Jul,
1764,Aug,
1764,Sep,
1764,Oct,
1764,Nov,
1764,Dec,
1765,Jan,
1765,Feb,
1765,Mar,
1765,Apr,
1765,May,
1765,Jun,
1765,Jul,
1765,Aug,
1765,Sep,
1765,Oct,
1765,Nov,
1765,Dec,
1766,Jan,
1766,Feb,
1766,Mar,
1766,Apr,
1766,May,
1766,Jun,
1766,Jul,
1766,Aug,
1766,Sep,
1766,Oct,
1766,Nov,
1766,Dec,
1767,Jan,
1767,Feb,
1767,Mar,
1767,Apr,
1767,May,
1767,Jun,
1767,Jul,
1767,Aug,
1767,Sep,
1767,Oct,
1767,Nov,
1767,Dec,
1768,Jan,
1768,Feb,
1768,Mar,
1768,Apr,
1768,May,
1768,Jun,
1768,Jul,
1768,Aug,
1768,Sep,
1768,Oct,
1768,Nov,
1768,Dec,
1769,Jan,
1769,Feb,
1769,Mar,
1769,Apr,
1769,May,
1769,Jun,
1769,Jul,
1769,Aug,21
1769,Sep,38
1769,Oct,13
1769,Nov,42
1769,Dec,31
1770,Jan,49
1770,Feb,25
1770,Mar,12
1770,Apr,60
1770,May,58
1770,Jun,102
1770,Jul,56
1770,Aug,34
1770,Sep,58
1770,Oct,96
1770,Nov,85
1770,Dec,62
1771,Jan,37
1771,Feb,25
1771,Mar,61
1771,Apr,12
1771,May,58
1771,Jun,80
1771,Jul,23
1771,Aug,115
1771,Sep,29
1771,Oct,30
1771,Nov,24
1771,Dec,50
1772,Jan,62
1772,Feb,61
1772,Mar,37
1772,Apr,60
1772,May,47
1772,Jun,68
1772,Jul,23
1772,Aug,23
1772,Sep,92
1772,Oct,48
1772,Nov,24
1772,Dec,31
1773,Jan,79
1773,Feb,39
1773,Mar,7
1773,Apr,28
1773,May,48
1773,Jun,146
1773,Jul,88
1773,Aug,63
1773,Sep,32
1773,Oct,72
1773,Nov,43
1773,Dec,95
1774,Jan,89
1774,Feb,53
1774,Mar,32
1774,Apr,90
1774,May,118
1774,Jun,48
1774,Jul,12
1774,Aug,106
1774,Sep,105
1774,Oct,12
1774,Nov,34
1774,Dec,15
1775,Jan,28
1775,Feb,70
1775,Mar,49
1775,Apr,7
1775,May,36
1775,Jun,107
1775,Jul,62
1775,Aug,26
1775,Sep,55
1775,Oct,71
1775,Nov,79
1775,Dec,41
1776,Jan,43
1776,Feb,135
1776,Mar,28
1776,Apr,19
1776,May,89
1776,Jun,85
1776,Jul,76
1776,Aug,135
1776,Sep,48
1776,Oct,0
1776,Nov,43
1776,Dec,42
1777,Jan,54
1777,Feb,38
1777,Mar,36
1777,Apr,43
1777,May,87
1777,Jun,35
1777,Jul,105
1777,Aug,6
1777,Sep,21
1777,Oct,20
1777,Nov,28
1777,Dec,52
1778,Jan,66
1778,Feb,27
1778,Mar,40
1778,Apr,78
1778,May,70
1778,Jun,17
1778,Jul,107
1778,Aug,9
1778,Sep,43
1778,Oct,74
1778,Nov,73
1778,Dec,30
1779,Jan,0
1779,Feb,22
1779,Mar,12
1779,Apr,81
1779,May,47
1779,Jun,74
1779,Jul,113
1779,Aug,65
1779,Sep,42
1779,Oct,42
1779,Nov,83
1779,Dec,80
1780,Jan,42
1780,Feb,21
1780,Mar,40
1780,Apr,47
1780,May,28
1780,Jun,49
1780,Jul,56
1780,Aug,84
1780,Sep,61
1780,Oct,37
1780,Nov,65
1780,Dec,0
1781,Jan,28
1781,Feb,60
1781,Mar,0
1781,Apr,19
1781,May,27
1781,Jun,72
1781,Jul,42
1781,Aug,30
1781,Sep,35
1781,Oct,7
1781,Nov,82
1781,Dec,27
1782,Jan,88
1782,Feb,11
1782,Mar,108
1782,Apr,63
1782,May,107
1782,Jun,17
1782,Jul,52
1782,Aug,107
1782,Sep,60
1782,Oct,31
1782,Nov,49
1782,Dec,24
1783,Jan,85
1783,Feb,47
1783,Mar,74
1783,Apr,22
1783,May,72
1783,Jun,98
1783,Jul,49
1783,Aug,86
1783,Sep,59
1783,Oct,42
1783,Nov,40
1783,Dec,34
1784,Jan,12
1784,Feb,25
1784,Mar,61
1784,Apr,17
1784,May,58
1784,Jun,34
1784,Jul,56
1784,Aug,201
1784,Sep,31
1784,Oct,31
1784,Nov,37
1784,Dec,55
1785,Jan,26
1785,Feb,38
1785,Mar,0
1785,Apr,17
1785,May,8
1785,Jun,58
1785,Jul,72
1785,Aug,63
1785,Sep,58
1785,Oct,60
1785,Nov,69
1785,Dec,52
1786,Jan,54
1786,Feb,20
1786,Mar,94
1786,Apr,41
1786,May,40
1786,Jun,142
1786,Jul,47
1786,Aug,85
1786,Sep,74
1786,Oct,55
1786,Nov,44
1786,Dec,46
1787,Jan,22
1787,Feb,25
1787,Mar,42
